GSM155228.CEL.gz,GSM155230.CEL.gz,GSM155233.CEL.gz,GSM155235.CEL.gz,GSM155237.CEL.gz,GSM155229.CEL.gz,GSM155232.CEL.gz,GSM155234.CEL.gz,GSM155236.CEL.gz,GSM155238.CEL.gz
1007_s_at,8.51301556506944,8.76778143286318,8.81210791602673,8.87986379251015,8.68662802653895,8.33375448894284,8.64447934351525,8.64579244504389,8.50357138981714,8.74856146554897
1053_at,8.29247528068362,8.07165300527721,8.37003404260215,8.16144761282123,8.03710715996264,7.29357914159718,7.0759672606608,7.63802632977251,7.54369462089846,7.72155647674611
117_at,8.45450281296743,7.61691689916073,7.86844203675436,7.21038780494798,7.09099438197658,7.36686130113191,7.11557005576329,8.03559494666652,6.37198696602354,6.94217066648487
121_at,10.4738577758852,10.4155384665434,10.5352086796813,10.4488213788596,9.94725856413395,10.0606295454472,10.3024544527159,10.3625151668794,10.3355955142148,10.2920499327349
1255_g_at,5.15392332294257,4.76931065483126,5.70053783218258,6.76749003466894,6.3161703709574,5.63460194618461,5.59539795933483,3.95432118265471,6.15005464814368,6.22249568940936
1294_at,9.80753943468659,10.0073480764874,9.87629767518073,9.59808674986879,9.44296812698567,9.99428940342415,10.3253785037367,9.90105871504436,9.75325651443568,9.4755284402777
1316_at,7.80817849349921,7.09711303164088,8.0475566909312,7.76505174073968,6.48419627249676,7.42575953453808,7.11871164386005,7.41761866316504,7.4397594276719,7.52300543381937
1320_at,4.32495352460046,4.42343452994901,4.35603794123039,4.30092435900305,4.31735046323858,5.73649458767534,4.6520571057585,4.67281081476365,4.23737097518111,5.58670012755651
1405_i_at,12.0171288477053,11.7440999268753,10.8978021183245,12.6383814228634,10.6123865601727,13.9074999427955,12.8528350320798,13.7394836397458,13.9297860860169,12.907934968913
1431_at,6.68652655949804,6.78785979052912,6.31777527221406,6.8215497083433,6.5716795274604,6.56736834974036,6.40799588018081,6.7721872262257,6.57719336053243,6.50626298002709
1438_at,6.24247064393811,5.15868627399584,5.89532470641951,7.36927417361498,7.32110706990535,6.35274949958589,5.47101541524692,6.70447078965545,4.27491682795958,4.85027435126771
1487_at,8.72959148760298,8.91251719018595,8.30121859841775,8.04090995560638,8.87581597290973,8.36289749572331,8.92025661976932,8.69175697276699,8.59353127406831,8.35810433410942
1494_f_at,8.26092842270305,8.24974619550005,8.66658895791758,8.60240391648483,7.82921555711736,8.01108558969548,8.36582215442962,8.38259289762593,8.29275379276787,8.36273877957587
1598_g_at,9.2352694260281,9.43644783571802,9.44719428311892,9.63467226364946,8.9514818953368,8.93469411918862,8.84842532915115,9.30475602506049,9.24078316682928,9.09929292745527
160020_at,9.05656554498651,8.48579002733773,9.41722581905455,9.44223694458406,8.86186017386268,8.47289678476776,8.56543202902111,9.39234808087187,8.71353264506647,8.94151960665564
1729_at,10.9524543867152,10.5626946321517,10.6076715612206,10.0680150870434,10.2135801912984,10.1337336254959,9.7945075758031,9.91303924304834,9.74053654415751,9.61847961570321
177_at,7.80622850351213,6.47261890056529,7.58797018663641,6.81291953885635,6.33563154017381,6.141763405519,6.01162504562173,7.47168353313422,6.96021672385018,6.31433730977768
1773_at,7.58909417307776,7.17197127597649,7.19177633136343,6.76664447883939,6.96875220747993,6.99988780348314,7.50314882056483,6.63603427119665,5.80686862525033,6.55333975880046
179_at,9.5388836765528,9.6775668060148,10.0133354718251,9.21030123061288,9.31698428506157,9.51325065216844,9.89339480366259,9.82437071197523,9.92683134460936,9.45173819198897
1861_at,8.30127265206511,8.19666806621431,8.29898557841778,8.32740621873463,7.95874467028471,8.11686319180099,8.0480962281615,7.86563378428838,8.071317501834,8.06623393441795
200000_s_at,10.7766008831764,10.6992254501298,10.8423853908013,9.92178374303678,10.6389080505693,10.9502317065921,11.0401693554295,10.8923360890822,10.4038842749892,10.8105468220788
200001_at,11.8966055783271,12.2596413688636,11.5505256122628,11.6196328376436,11.4301665583445,11.7074395209744,12.0323775698879,12.0789423207015,12.1610677827803,11.5795681278313
200002_at,13.8620443261719,13.8019688999802,13.9940768483531,14.1807237648248,14.3708836561312,14.118714440333,13.8666822169438,14.2814722779397,14.3512554642215,14.3680522329162
200003_s_at,14.5011184893712,14.5391630611554,14.7163179382133,14.7888670000099,14.8502443823303,14.6957016037444,14.6149693910089,14.87384276627,15.0106332770552,14.9391900047234
200004_at,12.9512414488603,12.9281892236724,13.1061637598338,13.161700702394,13.2614478909382,13.131650350091,12.9084399293796,13.2189535658745,12.950952239547,13.1673234288591
200005_at,12.3356534337452,12.618684769942,12.2035073509607,12.2224210705991,12.4959043105187,12.3278366821682,12.7282517717914,12.487297079083,12.3718989137872,12.5023463039307
200006_at,12.3417533588593,12.8283512442899,12.533059227584,12.6730999054491,12.4931218995014,12.7291262914555,12.7514842930818,12.7486432786816,12.7111547483267,12.7451991241509
200007_at,12.4495364870445,12.7105595598672,12.8547868819786,12.8199914501555,13.0945543027755,12.5875801498657,12.7242802480515,13.0794147784846,13.1005119570509,13.1185886992043
