GSM155179.CEL.gz,GSM155181.CEL.gz,GSM155183.CEL.gz,GSM155185.CEL.gz,GSM155187.CEL.gz,GSM155190.CEL.gz,GSM155195.CEL.gz,GSM155201.CEL.gz,GSM155203.CEL.gz,GSM155206.CEL.gz
1007_s_at,7.91574339382988,8.31302586185573,7.92923948899684,8.42364855194488,8.58878160406667,8.23375068152998,8.83091499021688,8.64769896220842,7.51660632585916,8.54860810417664
1053_at,8.21025456749331,8.41699951139362,8.18598877201426,7.65418277039443,7.7069691699847,7.90059686576283,7.93401219355595,8.06001399639656,8.59867844465086,7.61969447394151
117_at,7.31430288572218,7.34225040731125,7.44012339257578,7.19788163653655,7.10880111031659,6.65602272496349,7.18348239138512,7.29907431231755,7.97002325107661,7.05751027979347
121_at,9.76582024913043,10.27843271374,10.1345901439313,10.7017275360313,10.4357630712691,10.2971711834862,10.1931010692654,10.1055944303614,10.5051961229324,10.0059094124924
1255_g_at,3.36883983019901,5.65339986489959,4.92965906707347,4.50449639822141,5.69719293985361,5.35874367254721,5.92852056092161,6.10891343788176,6.90396629316901,5.08845718259844
1294_at,10.3239585199443,9.73083080478592,10.0822352279307,9.06458515301415,9.76452775883646,9.70565642645403,10.1520408501177,9.92276544183818,9.6382651819631,10.0940444534877
1316_at,7.12260943769135,7.12650583787744,7.40318660611131,6.77598896326391,7.22511747836879,6.71925140095154,7.21106710506152,6.8846447978096,8.37504065356846,8.05173781835804
1320_at,3.43981769884957,5.51621313343529,4.42693021698172,4.18531012322603,3.80048222523943,2.87181928454892,4.23956853733769,4.38043684849948,5.1762495118458,4.66363155035282
1405_i_at,13.7414957787964,13.3092408877615,13.3206869778154,14.4471081838447,13.0233226011534,14.1770780930151,13.8422818195194,14.2217869749559,13.8434955919134,14.0609345035804
1431_at,5.66262482728949,5.46890989685009,6.31549646687199,5.89965731325049,5.68084060356924,6.09770814149848,6.60170657846009,6.2740375702382,7.98893730128471,6.21505369989818
1438_at,4.07431625297129,4.93141263876873,5.24943029893033,6.38528856109665,6.22500691056879,5.67543671555624,7.13311646584801,5.26729907757497,5.03204835951069,4.90556783451027
1487_at,8.58127961867453,8.4609470612548,8.94038640358785,8.32796654184489,8.71161644898907,8.50481006180508,8.51242410552951,8.59811892956609,8.70723639785441,8.59966098516381
1494_f_at,7.48019529652445,7.69992913875654,8.00846422820692,8.19152762959094,8.31674582096817,8.16727863388153,8.12541458368708,8.04467159103738,8.18410719468868,7.83335478795981
1598_g_at,8.75939355644445,9.10689833013922,8.89115016338034,9.73394925034002,9.1595559041378,9.06603487117214,9.20841004805449,8.95706415951095,9.25060389394688,8.55549831520416
160020_at,8.33291146389332,9.02591952165382,9.19935976806313,9.11455421545173,9.02822234919368,8.83351608825931,9.16841494420563,8.85325908163754,8.96098417546625,8.26424705310548
